srcStateName,srcSubDistrictName,srcYear,Yeild of Tur,Yeild of Horse Gram,Yeild of Black Gram,Yeild of Green Gram,Yeild of Avare,Yeild of Cowpea,Yeild of Bengal Gram,Yeild of Other Pulses,Yeild of Total Pulses,Yeild of Total Food Grains,srcDistrictName,YearCode,Year
Karnataka,Yellapur,2019-20,655,731,519,196,861,252,731,773,412,2375,UTTARA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Bagepalli,2019-20,909,885,495,371,1162,386,782,650,896,2421,CHIKKABALLAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Chamarajanagara,2019-20,684,764,78,231,914,288,888,691,696,1102,CHAMARAJANAGARA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Channapatna,2019-20,457,1166,495,371,543,350,782,742,1033,2068,RAMANAGARA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Chikballapur,2019-20,586,984,437,371,1330,324,782,693,937,2008,CHIKKABALLAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Chinthamani,2019-20,364,902,437,371,795,329,782,650,794,1660,CHIKKABALLAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Gauribidanur,2019-20,789,938,437,356,1062,311,782,773,849,3266,CHIKKABALLAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Gudibande,2019-20,571,904,437,371,1049,351,782,709,697,2558,CHIKKABALLAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Gundlupet,2019-20,846,895,137,238,913,359,877,727,869,1269,CHAMARAJANAGARA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Gurumithakala,2019-20,673,731,509,710,947,299,1088,1332,683,1141,YADGIR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Heggadadevanakote,2019-20,919,461,289,300,462,279,509,742,469,2221,MYSURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hunisigi,2019-20,781,801,509,705,1049,252,1066,1332,783,2563,YADGIR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Hunsur,2019-20,679,792,173,182,837,344,509,675,710,1518,MYSURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kadaba,2019-20,655,731,437,306,919,365,731,650,678,3086,DAKSHINA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kanakpura,2019-20,773,755,495,371,1460,1117,782,634,880,2188,BELAGAVI,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kollegala,2019-20,783,788,120,122,895,315,879,691,555,1626,CHAMARAJANAGARA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Kollegala(Hanur),2019-20,783,724,164,236,876,381,818,710,732,3422,CHAMARAJANAGARA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,K.R.Nagar,2019-20,502,569,309,335,1079,476,509,635,599,2132,MYSURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Madikeri,2019-20,655,731,437,306,919,365,731,742,773,2253,KODAGU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Magadi,2019-20,626,1378,495,371,1073,839,782,662,1041,2498,RAMANAGARA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Mudabidri,2019-20,655,731,437,306,919,299,731,650,299,3016,DAKSHINA KANNADA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Mysuru,2019-20,518,794,150,98,784,193,509,742,645,1712,MYSURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Nanjangud,2019-20,451,550,185,198,692,146,548,563,393,1187,MYSURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Piriyapatna,2019-20,634,798,253,239,502,858,490,445,643,2179,MYSURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Ramanagar,2019-20,922,1150,495,371,1086,669,782,742,1029,2199,RAMANAGARA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Saraguru,2019-20,634,628,253,219,663,338,509,742,503,2311,MYSURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Shahapur,2019-20,763,801,437,568,956,272,817,1332,735,1754,YADGIR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Shidlagatta,2019-20,653,922,495,354,1049,299,782,693,801,2333,CHIKKABALLAPURA,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Shorapur,2019-20,701,791,437,561,861,263,1014,1332,701,2458,YADGIR,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Somawarpet,2019-20,729,801,437,306,861,263,731,650,449,3688,KODAGU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,T.Narasipura,2019-20,634,714,338,159,805,166,509,742,527,2971,MYSURU,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,Vadagera,2019-20,679,731,437,705,1049,296,1015,1332,688,2702,YADGIR,2019,"Financial Year (Apr - Mar), 2019"
